DB01204,75,DB08916
DB00936,49,DB04743
DB13158,73,DB01232
DB09080,47,DB00359
DB08912,75,DB01118
DB01349,49,DB00178
DB00696,49,DB01071
DB00912,73,DB00673
DB09245,60,DB01214
DB00991,49,DB01130
DB01234,73,DB06717
DB00297,47,DB00254
DB00556,20,DB00199
DB00697,73,DB00921
DB00496,47,DB00472
DB00543,64,DB09244
DB00014,70,DB01251
DB00757,20,DB08871
DB00186,49,DB00418
DB00794,4,DB00845
DB00471,73,DB01254
DB00875,49,DB01463
DB06480,75,DB09389
DB01351,60,DB01200
DB00648,75,DB00850
DB00622,30,DB00476
DB04835,73,DB05521
DB01437,49,DB00395
DB01047,73,DB04573
DB00296,49,DB00373
DB00614,49,DB00497
DB00425,16,DB06216
DB00986,49,DB01209
DB01214,49,DB08941
DB01336,21,DB01627
DB00813,49,DB00310
DB13783,70,DB00226
DB01087,75,DB00643
DB09166,49,DB00934
DB00997,73,DB00188
DB00690,77,DB06695
DB01544,47,DB00705
DB00549,47,DB00544
DB09227,49,DB00571
DB00475,49,DB00334
DB01087,75,DB00711
DB00875,49,DB01221
DB00371,49,DB08815
DB00324,73,DB06290
DB08822,49,DB00500
DB01545,49,DB09071
DB00358,70,DB01591
DB00744,47,DB00338
DB00362,49,DB01023
DB00393,70,DB00758
DB09235,49,DB01095
DB00871,71,DB00601
DB00972,49,DB00443
DB00744,49,DB06739
DB00328,49,DB08971
DB01409,2,DB06702
DB02709,70,DB00429
DB00433,47,DB00289
DB01030,73,DB08874
DB00297,49,DB00980
DB01184,73,DB01232
DB00207,20,DB00440
DB08881,33,DB00933
DB00959,73,DB00783
DB01155,72,DB01032
DB00612,49,DB04861
DB00542,60,DB09070
DB01100,49,DB00807
DB00755,70,DB00957
DB06262,25,DB00598
DB01224,49,DB01086
DB00987,47,DB00254
DB00706,10,DB06207
DB00961,49,DB01587
DB00425,16,DB01588
DB01171,47,DB00257
DB00708,49,DB01325
DB09068,49,DB06016
DB00752,60,DB00401
DB01090,60,DB09236
DB00264,37,DB04743
DB09074,73,DB00224
DB00794,4,DB00701
DB00498,6,DB09324
DB09286,49,DB00960
DB09053,73,DB00285
DB00182,60,DB00808
DB08822,49,DB03585
DB00932,73,DB09118
DB00986,2,DB00747
DB00564,49,DB09241
DB01151,64,DB01626
DB01065,47,DB00440
DB09238,60,DB01180
DB01367,49,DB01624
DB06016,47,DB01026
DB00564,4,DB09570
DB00312,4,DB01194
DB01018,60,DB01170
DB00091,57,DB00795
DB01351,75,DB08807
